I_in,Q_in,I_out,Q_out,I_out_ideal,Q_out_ideal
-0.23387903,0.00187072,-0.70918941,0.05286353,-2.33879030,0.01870717
-0.38512095,0.03427812,-0.70926160,0.05276145,-3.85120949,0.34278125
-0.49677171,0.03299165,-0.70942783,0.05270996,-4.96771712,0.32991653
-0.56023440,0.00953321,-0.70958495,0.05270052,-5.60234405,0.09533215
-0.57448397,-0.01993897,-0.70963800,0.05268771,-5.74483974,-0.19938969
-0.54507335,-0.04191212,-0.70956880,0.05266436,-5.45073350,-0.41912124
-0.48266400,-0.05111089,-0.70945042,0.05268522,-4.82663996,-0.51110890
-0.40126453,-0.05222421,-0.70936394,0.05282897,-4.01264528,-0.52224211
-0.31617684,-0.05711784,-0.70933223,0.05311700,-3.16176842,-0.57117844
-0.24162625,-0.07865918,-0.70930570,0.05348455,-2.41626251,-0.78659180
-0.18822067,-0.12364606,-0.70922261,0.05378926,-1.88220666,-1.23646057
-0.16066100,-0.18776779,-0.70909649,0.05391648,-1.60660996,-1.87767794
-0.15635099,-0.25485187,-0.70898849,0.05386560,-1.56350986,-2.54851874
-0.16556697,-0.30108768,-0.70897073,0.05375138,-1.65566972,-3.01087678
-0.17355988,-0.30302577,-0.70906842,0.05368594,-1.73559879,-3.03025771
-0.16441373,-0.24662060,-0.70923990,0.05368446,-1.64413734,-2.46620602
-0.12584484,-0.13399610,-0.70941240,0.05365402,-1.25844836,-1.33996099
-0.05363294,0.01477872,-0.70952952,0.05350020,-0.53632938,0.14778725
0.04574856,0.16598621,-0.70958495,0.05322846,0.45748557,1.65986213
0.15538224,0.28160478,-0.70961493,0.05296356,1.55382245,2.81604776
0.25133917,0.33083374,-0.70964694,0.05286729,2.51339172,3.30833737
0.30861969,0.30001355,-0.70967138,0.05301426,3.08619692,3.00013545
0.30806626,0.19752484,-0.70965523,0.05331322,3.08066261,1.97524838
0.24227019,0.05181698,-0.70959073,0.05356762,2.42270195,0.51816975
0.11865581,-0.09702611,-0.70951790,0.05363935,1.18655815,-0.97026110
-0.04132376,-0.20958967,-0.70950705,0.05351059,-0.41323756,-2.09589667
-0.20682044,-0.25934861,-0.70957375,0.05330777,-2.06820438,-2.59348610
-0.34484968,-0.24080006,-0.70965070,0.05317024,-3.44849684,-2.40800064
-0.42817167,-0.17079982,-0.70965815,0.05315952,-4.28171669,-1.70799822
-0.44160862,-0.08261782,-0.70957249,0.05321656,-4.41608623,-0.82617823
-0.38510209,-0.01463540,-0.70945394,0.05323150,-3.85102087,-0.14635397
-0.27281716,0.00261174,-0.70940632,0.05314378,-2.72817158,0.02611740
-0.12878563,-0.04321241,-0.70949274,0.05299050,-1.28785632,-0.43212415
0.01944129,-0.14188861,-0.70968539,0.05285245,0.19441290,-1.41888615
0.14719666,-0.26369653,-0.70986098,0.05278288,1.47196665,-2.63696526
0.23740181,-0.36885107,-0.70990783,0.05275387,2.37401808,-3.68851071
0.28253697,-0.42021723,-0.70980513,0.05271660,2.82536973,-4.20217226
0.28383138,-0.39517172,-0.70963639,0.05266103,2.83831381,-3.95171725
0.24851704,-0.29282541,-0.70952201,0.05262959,2.48517037,-2.92825409
0.18648196,-0.13439755,-0.70953530,0.05268904,1.86481961,-1.34397548
0.10760530,0.04320696,-0.70963186,0.05287118,1.07605296,0.43206961
0.02052487,0.19839013,-0.70971614,0.05309558,0.20524866,1.98390125
-0.06717870,0.29681872,-0.70970714,0.05325800,-0.67178697,2.96818721
-0.14807350,0.32059259,-0.70959598,0.05332922,-1.48073503,3.20592592
-0.21424380,0.27194649,-0.70946318,0.05333016,-2.14243799,2.71946486
-0.25775012,0.17070565,-0.70937175,0.05332876,-2.57750115,1.70705655
-0.27240498,0.04676427,-0.70932370,0.05337673,-2.72404984,0.46764272
-0.25633612,-0.06963265,-0.70928824,0.05345372,-2.56336119,-0.69632649
-0.21422892,-0.15652402,-0.70921701,0.05350530,-2.14228918,-1.56524024
-0.15800306,-0.20512681,-0.70913565,0.05348946,-1.58003062,-2.05126807
-0.10508767,-0.21979875,-0.70910829,0.05343253,-1.05087666,-2.19798752
-0.07430170,-0.21363996,-0.70917058,0.05339888,-0.74301700,-2.13639957
-0.08032184,-0.20173845,-0.70930141,0.05344120,-0.80321840,-2.01738453
-0.12845079,-0.19470294,-0.70942891,0.05353220,-1.28450788,-1.94702937
-0.21157096,-0.19479782,-0.70948362,0.05358388,-2.11570964,-1.94797817
-0.31065581,-0.19587954,-0.70945501,0.05353190,-3.10655811,-1.95879541
-0.39913695,-0.18687020,-0.70939630,0.05339548,-3.99136948,-1.86870199
-0.45013192,-0.15723123,-0.70940006,0.05325671,-4.50131922,-1.57231231
-0.44447202,-0.10225415,-0.70950061,0.05320310,-4.44472025,-1.02254152
-0.37702763,-0.02615671,-0.70964479,0.05324293,-3.77027635,-0.26156706
-0.25920701,0.05814774,-0.70974422,0.05330087,-2.59207012,0.58147736
-0.11662103,0.13250488,-0.70973551,0.05328928,-1.16621035,1.32504885
0.01758369,0.17896123,-0.70963567,0.05320942,0.17583690,1.78961235
0.11181413,0.18531254,-0.70951122,0.05315420,1.11814129,1.85312542
0.14480879,0.14891955,-0.70941818,0.05321778,1.44808787,1.48919546
0.11142190,0.07761491,-0.70936322,0.05339498,1.11421895,0.77614906
0.02365973,-0.01246236,-0.70931858,0.05357740,0.23659726,-0.12462361
-0.09327824,-0.10128101,-0.70927310,0.05360420,-0.93278239,-1.01281006
-0.20861495,-0.17012567,-0.70926481,0.05338545,-2.08614945,-1.70125672
-0.29479639,-0.20604699,-0.70931417,0.05300704,-2.94796388,-2.06046987
-0.33470243,-0.20440967,-0.70940697,0.05267323,-3.34702431,-2.04409671
-0.32511455,-0.16910704,-0.70949632,0.05254107,-3.25114552,-1.69107036
-0.27560942,-0.11074476,-0.70951766,0.05264808,-2.75609420,-1.10744756
-0.20360611,-0.04360297,-0.70943969,0.05289326,-2.03606114,-0.43602972
-0.12754938,0.01766517,-0.70930386,0.05313210,-1.27549383,0.17665168
-0.06073315,0.06082365,-0.70919698,0.05329141,-0.60733146,0.60823650
-0.00789202,0.07792575,-0.70917946,0.05339951,-0.07892019,0.77925754
0.03443134,0.06622351,-0.70923710,0.05353832,0.34431343,0.66223509
0.07418137,0.02827822,-0.70929450,0.05373800,0.74181375,0.28278216
0.11842803,-0.02855214,-0.70929128,0.05393488,1.18428033,-0.28552136
0.16861750,-0.09318813,-0.70924187,0.05401498,1.68617498,-0.93188127
0.21842860,-0.15251341,-0.70921791,0.05391366,2.18428596,-1.52513414
0.25519668,-0.19368786,-0.70929229,0.05367074,2.55196677,-1.93687860
0.26446438,-0.20690212,-0.70945847,0.05339348,2.64464384,-2.06902117
0.23596904,-0.18806928,-0.70960057,0.05318311,2.35969040,-1.88069281
0.16874949,-0.14068098,-0.70959896,0.05307418,1.68749490,-1.40680979
0.07329503,-0.07601548,-0.70940912,0.05305524,0.73295032,-0.76015481
-0.03030823,-0.01118500,-0.70911407,0.05309520,-0.30308227,-0.11185003
-0.11782114,0.03487815,-0.70886207,0.05318174,-1.17821137,0.34878154
-0.16812303,0.04664872,-0.70876259,0.05331486,-1.68123035,0.46648717
-0.16980799,0.01699279,-0.70882344,0.05347752,-1.69807989,0.16992785
-0.12475917,-0.04974243,-0.70894581,0.05361630,-1.24759166,-0.49742430
-0.04737267,-0.13781528,-0.70903134,0.05364124,-0.47372668,-1.37815283
0.04037052,-0.22374393,-0.70904535,0.05352496,0.40370524,-2.23743927
0.11629529,-0.28276079,-0.70902818,0.05333282,1.16295290,-2.82760788
0.16528719,-0.29626172,-0.70904320,0.05318014,1.65287192,-2.96261717
0.18382891,-0.25791576,-0.70910710,0.05315520,1.83828909,-2.57915756
0.18019198,-0.17632685,-0.70916247,0.05325152,1.80191978,-1.76326854
0.17022599,-0.07311151,-0.70917130,0.05335604,1.70225991,-0.73111512
0.17030961,0.02330050,-0.70912278,0.05337276,1.70309615,0.23300495
0.19011232,0.08638883,-0.70906711,0.05328197,1.90112317,0.86388832
0.22795157,0.10008801,-0.70906645,0.05315344,2.27951570,1.00088006
0.27064105,0.06436483,-0.70913261,0.05307682,2.70641048,0.64364835
0.29810470,-0.00411708,-0.70922250,0.05307294,2.98104699,-0.04117084
0.29124742,-0.07665508,-0.70926493,0.05309710,2.91247416,-0.76655083
0.24026990,-0.12116616,-0.70924670,0.05306054,2.40269895,-1.21166164
0.15028473,-0.11218275,-0.70922107,0.05296724,1.50284734,-1.12182749
0.04189079,-0.03903218,-0.70926130,0.05290952,0.41890786,-0.39032180
-0.05394851,0.09040597,-0.70938879,0.05298832,-0.53948512,0.90405968
-0.10536658,0.25155708,-0.70956069,0.05321210,-1.05366578,2.51557077
-0.09040660,0.41000698,-0.70969778,0.05348734,-0.90406596,4.10006981
-0.00553425,0.53114655,-0.70972610,0.05368168,-0.05534252,5.31146548
0.13122624,0.58955620,-0.70967126,0.05370654,1.31226239,5.89556199
0.28394921,0.57526958,-0.70960051,0.05360400,2.83949214,5.75269581
0.40846253,0.49518844,-0.70957494,0.05351234,4.08462533,4.95188444
0.46517941,0.36958650,-0.70961165,0.05352712,4.65179405,3.69586502
0.43113739,0.22524718,-0.70967537,0.05361899,4.31137391,2.25247184
0.30741012,0.08777075,-0.70971930,0.05367556,3.07410118,0.87770745
0.11945602,-0.02436491,-0.70974368,0.05359232,1.19456016,-0.24364914
-0.08981600,-0.10227588,-0.70976114,0.05336828,-0.89815997,-1.02275880
-0.27217592,-0.14539598,-0.70978785,0.05313062,-2.72175921,-1.45395976
-0.38766822,-0.15761415,-0.70979810,0.05302378,-3.87668217,-1.57614149
-0.41550867,-0.14289249,-0.70975226,0.05309474,-4.15508671,-1.42892495
-0.35902292,-0.10247010,-0.70962483,0.05327076,-3.59022921,-1.02470102
-0.24330284,-0.03493449,-0.70944321,0.05341054,-2.43302844,-0.34934486
-0.10657524,0.06090352,-0.70929134,0.05340981,-1.06575242,0.60903523
0.01178737,0.18172096,-0.70924282,0.05330075,0.11787375,1.81720964
0.08275435,0.31613547,-0.70929962,0.05319042,0.82754349,3.16135472
0.09511294,0.44393409,-0.70937872,0.05316204,0.95112936,4.43934090
0.05689198,0.53911976,-0.70937186,0.05321686,0.56891984,5.39119762
-0.00924872,0.57631046,-0.70925474,0.05327846,-0.09248722,5.76310462
-0.07470546,0.53857838,-0.70910829,0.05325784,-0.74705460,5.38578376
-0.11455705,0.42400152,-0.70904815,0.05313089,-1.14557047,4.24001520
-0.11493364,0.24837252,-0.70913011,0.05293568,-1.14933640,2.48372519
-0.07594911,0.04266277,-0.70931309,0.05272460,-0.75949106,0.42662765
-0.00970550,-0.15440218,-0.70947784,0.05252664,-0.09705502,-1.54402181
0.06538902,-0.30655799,-0.70953274,0.05232886,0.65389023,-3.06557986
0.13157945,-0.38982223,-0.70947474,0.05214552,1.31579451,-3.89822227
0.17736939,-0.39872462,-0.70938581,0.05203647,1.77369394,-3.98724618
0.19989271,-0.34686231,-0.70935327,0.05207419,1.99892706,-3.46862310
0.20356594,-0.26156779,-0.70938671,0.05228837,2.03565938,-2.61567794
0.19602431,-0.17446491,-0.70941496,0.05262666,1.96024308,-1.74464911
0.18335871,-0.11109179,-0.70936626,0.05296578,1.83358709,-1.11091792
0.16684101,-0.08308335,-0.70921201,0.05322260,1.66841012,-0.83083346
0.14260611,-0.08550685,-0.70900279,0.05339820,1.42606112,-0.85506855
0.10444850,-0.10013971,-0.70882750,0.05356481,1.04448495,-1.00139713
0.04851020,-0.10340109,-0.70875841,0.05377874,0.48510196,-1.03401092
-0.02226454,-0.07603287,-0.70878226,0.05403002,-0.22264536,-0.76032865
-0.09608580,-0.01104129,-0.70882118,0.05421373,-0.96085797,-0.11041293
-0.15402098,0.08293574,-0.70882791,0.05423365,-1.54020982,0.82935738
-0.17533702,0.18401817,-0.70881289,0.05409403,-1.75337018,1.84018173
-0.14486817,0.26435318,-0.70881730,0.05390858,-1.44868168,2.64353184
-0.05980338,0.29965937,-0.70885223,0.05381208,-0.59803377,2.99659369
0.06678359,0.27765636,-0.70889330,0.05385990,0.66783595,2.77656355
0.20740704,0.20242110,-0.70891035,0.05397203,2.07407037,2.02421101
0.32674433,0.09318932,-0.70889217,0.05401402,3.26744325,0.93189320
0.39160929,-0.02189869,-0.70888567,0.05389435,3.91609287,-0.21898694
0.38129858,-0.11484233,-0.70895761,0.05364270,3.81298576,-1.14842328
0.29493619,-0.16642858,-0.70914227,0.05336838,2.94936194,-1.66428582
0.15322820,-0.17153720,-0.70937169,0.05318988,1.53228204,-1.71537197
-0.00626414,-0.13944531,-0.70953846,0.05311212,-0.06264136,-1.39445306
-0.13916678,-0.08931893,-0.70956349,0.05306114,-1.39166779,-0.89318931
-0.20674861,-0.04279180,-0.70944208,0.05298426,-2.06748611,-0.42791804
-0.18705870,-0.01648651,-0.70925242,0.05291486,-1.87058698,-0.16486515
-0.08137555,-0.01719479,-0.70907778,0.05295430,-0.81375553,-0.17194788
0.08596054,-0.04128259,-0.70896775,0.05316688,0.85960536,-0.41282585
0.27421560,-0.07818146,-0.70890510,0.05350766,2.74215599,-0.78181465
0.43733497,-0.11623337,-0.70884466,0.05383204,4.37334965,-1.16233368
0.53605329,-0.14828615,-0.70878249,0.05396812,5.36053287,-1.48286148
0.54750154,-0.17462349,-0.70875800,0.05385012,5.47501536,-1.74623489
0.46971754,-0.20197741,-0.70882088,0.05354528,4.69717544,-2.01977412
0.32017869,-0.23905440,-0.70895010,0.05322388,3.20178689,-2.39054396
0.12935781,-0.29053960,-0.70906806,0.05301920,1.29357808,-2.90539600
-0.06827003,-0.35230695,-0.70909977,0.05295128,-0.68270027,-3.52306950
-0.24281404,-0.41022380,-0.70904350,0.05295774,-2.42814035,-4.10223798
-0.37467591,-0.44358855,-0.70897537,0.05294440,-3.74675912,-4.43588550
-0.45616449,-0.43236982,-0.70898157,0.05289676,-4.56164489,-4.32369819
-0.48933661,-0.36574107,-0.70908070,0.05287361,-4.89336612,-3.65741066
-0.48163522,-0.24859740,-0.70919651,0.05293692,-4.81635220,-2.48597401
-0.44143727,-0.10317177,-0.70923239,0.05307380,-4.41437268,-1.03171775
-0.37531349,0.03554781,-0.70913112,0.05321508,-3.75313488,0.35547808
-0.28782009,0.12968582,-0.70896107,0.05327282,-2.87820087,1.29685816
-0.18341392,0.15066608,-0.70884818,0.05321828,-1.83413918,1.50666077
-0.06910857,0.08963431,-0.70888406,0.05310129,-0.69108572,0.89634310
0.04384536,-0.03768528,-0.70905882,0.05297002,0.43845360,-0.37685280
0.14054152,-0.19383823,-0.70924950,0.05285170,1.40541518,-1.93838226
0.20552977,-0.32980797,-0.70933950,0.05273924,2.05529766,-3.29807973
0.22754003,-0.39958549,-0.70927912,0.05262057,2.27540031,-3.99585490
0.20402696,-0.37456793,-0.70912486,0.05252092,2.04026964,-3.74567925
0.14356169,-0.25305310,-0.70898330,0.05249441,1.43561692,-2.53053104
0.06471643,-0.06154072,-0.70893335,0.05257173,0.64716433,-0.61540720
-0.00868825,0.15284258,-0.70896870,0.05272885,-0.08688249,1.52842585
-0.05471585,0.33656460,-0.70902663,0.05285992,-0.54715846,3.36564604
-0.06054049,0.44608809,-0.70905584,0.05287324,-0.60540492,4.46088088
-0.02722712,0.46118927,-0.70906430,0.05279060,-0.27227117,4.61189268
0.02981482,0.39087288,-0.70909226,0.05272274,0.29814815,3.90872881
0.08519644,0.26994086,-0.70918179,0.05277960,0.85196442,2.69940855
0.11157433,0.14730699,-0.70930243,0.05297935,1.11574331,1.47306988
0.08883796,0.06983510,-0.70937896,0.05321874,0.88837960,0.69835101
0.01142661,0.06692356,-0.70937771,0.05334243,0.11426611,0.66923559
-0.10877088,0.14079205,-0.70931345,0.05327410,-1.08770882,1.40792047
-0.24510214,0.26554829,-0.70923430,0.05306466,-2.45102137,2.65548288
-0.36376831,0.39525823,-0.70919293,0.05284558,-3.63768313,3.95258232
-0.43406034,0.47836249,-0.70918697,0.05272931,-4.34060338,4.78362490
-0.43797745,0.47381484,-0.70917338,0.05270362,-4.37977451,4.73814843
-0.37612411,0.36388313,-0.70912766,0.05266890,-3.76124109,3.63883134
-0.26794141,0.15974572,-0.70906502,0.05253810,-2.67941411,1.59745716
-0.14613811,-0.10160308,-0.70904034,0.05232852,-1.46138113,-1.01603076
-0.04704563,-0.36787180,-0.70909238,0.05213703,-0.47045628,-3.67871804
0.00008384,-0.58592586,-0.70918584,0.05207532,0.00083836,-5.85925859
-0.01848994,-0.71568299,-0.70925474,0.05214466,-0.18489937,-7.15682995
-0.09738659,-0.73942523,-0.70925528,0.05223810,-0.97386590,-7.39425227
-0.21429723,-0.66419914,-0.70918864,0.05224190,-2.14297233,-6.64199139
-0.33710078,-0.51727125,-0.70913231,0.05212103,-3.37100782,-5.17271254
-0.43351417,-0.33671135,-0.70914745,0.05195837,-4.33514169,-3.36711346
-0.48019526,-0.16042830,-0.70925015,0.05186528,-4.80195259,-1.60428298
-0.46854670,-0.01705077,-0.70936567,0.05190319,-4.68546700,-0.17050772
-0.40566968,0.07897756,-0.70941776,0.05201430,-4.05669676,0.78977564
-0.31055567,0.12737819,-0.70937973,0.05207307,-3.10555668,1.27378188
-0.20712029,0.13805321,-0.70928663,0.05199407,-2.07120290,1.38053208
-0.11658048,0.12520849,-0.70920378,0.05180699,-1.16580482,1.25208494
-0.05169005,0.10189693,-0.70916849,0.05163582,-0.51690050,1.01896931
-0.01452460,0.07669054,-0.70915407,0.05158680,-0.14524599,0.76690539
0.00182777,0.05307261,-0.70911729,0.05165332,0.01827774,0.53072615
0.00867567,0.03099248,-0.70903558,0.05174404,0.08675670,0.30992480
0.01616165,0.00928833,-0.70895302,0.05175976,0.16161654,0.09288334
0.02884787,-0.01240489,-0.70893770,0.05168324,0.28847867,-0.12404892
0.04400832,-0.03312860,-0.70902073,0.05159427,0.44008324,-0.33128599
0.05310842,-0.05148189,-0.70914942,0.05158444,0.53108417,-0.51481893
0.04576293,-0.06717456,-0.70920539,0.05170745,0.45762932,-0.67174563
0.01458514,-0.08216428,-0.70911157,0.05193388,0.14585142,-0.82164282
-0.04093652,-0.10049841,-0.70890623,0.05219204,-0.40936520,-1.00498406
-0.11300290,-0.12664316,-0.70871949,0.05241821,-1.13002898,-1.26643159
-0.18708061,-0.16289627,-0.70867926,0.05258683,-1.87080612,-1.62896270
-0.24599370,-0.20706905,-0.70882487,0.05269077,-2.45993700,-2.07069048
-0.27516964,-0.25170388,-0.70908505,0.05270442,-2.75169644,-2.51703882
-0.26730358,-0.28558736,-0.70931333,0.05258390,-2.67303584,-2.85587363
-0.22492042,-0.29740059,-0.70941174,0.05232145,-2.24920423,-2.97400592
-0.16001976,-0.28037644,-0.70938379,0.05199306,-1.60019761,-2.80376444
-0.09092516,-0.23621522,-0.70931029,0.05173460,-0.90925161,-2.36215223
-0.03731095,-0.17653618,-0.70927685,0.05165530,-0.37310951,-1.76536179
-0.01488303,-0.12086485,-0.70929617,0.05176370,-0.14883034,-1.20864847
-0.03121598,-0.09135495,-0.70931065,0.05196953,-0.31215975,-0.91354949
-0.08383224,-0.10569727,-0.70927298,0.05215128,-0.83832240,-1.05697270
-0.16092010,-0.17050493,-0.70918399,0.05224510,-1.60920097,-1.70504935
-0.24435707,-0.27753969,-0.70909250,0.05228170,-2.44357070,-2.77539691
-0.31414780,-0.40437403,-0.70903558,0.05235417,-3.14147798,-4.04374028
-0.35312612,-0.51969049,-0.70902550,0.05251390,-3.53126120,-5.19690487
-0.35082845,-0.59186077,-0.70902634,0.05269861,-3.50828453,-5.91860769
-0.30574391,-0.59826133,-0.70899582,0.05277721,-3.05743911,-5.98261333
-0.22556436,-0.53239766,-0.70894802,0.05266910,-2.25564357,-5.32397658
-0.12547816,-0.40648954,-0.70892870,0.05243800,-1.25478163,-4.06489536
-0.02489921,-0.24854897,-0.70895129,0.05223636,-0.24899211,-2.48548967
0.05672956,-0.09471681,-0.70898831,0.05220558,0.56729563,-0.94716815
0.10426778,0.02085811,-0.70898438,0.05236926,1.04267785,0.20858106
0.11049493,0.07551901,-0.70891619,0.05261818,1.10494925,0.75519006
0.07821090,0.06409551,-0.70879066,0.05278862,0.78210904,0.64095507
0.02020443,-0.00037413,-0.70869178,0.05280878,0.20204425,-0.00374134
-0.04317219,-0.09128859,-0.70869422,0.05272348,-0.43172185,-0.91288585
-0.08857405,-0.17691940,-0.70880312,0.05264316,-0.88574049,-1.76919396
-0.09555171,-0.22992755,-0.70893747,0.05264264,-0.95551712,-2.29927551
-0.05242340,-0.23501254,-0.70902234,0.05270342,-0.52423399,-2.35012543
0.03944424,-0.19245234,-0.70902318,0.05273950,0.39444245,-1.92452343
0.16435540,-0.11668315,-0.70897639,0.05270235,1.64355397,-1.16683148
0.29478811,-0.03066654,-0.70894885,0.05263288,2.94788113,-0.30666538
0.39748582,0.04192643,-0.70897549,0.05263705,3.97485819,0.41926429
0.44185689,0.08411866,-0.70902598,0.05276671,4.41856887,0.84118656
0.40854545,0.09031831,-0.70902562,0.05297180,4.08545454,0.90318311
0.29572283,0.06701307,-0.70893681,0.05313438,2.95722834,0.67013071
0.12105694,0.02954600,-0.70882666,0.05313820,1.21056935,0.29546002
-0.08159245,-0.00369858,-0.70878679,0.05297316,-0.81592449,-0.03698575
-0.27020497,-0.01763235,-0.70887351,0.05272373,-2.70204971,-0.17632350
-0.40534249,-0.00523443,-0.70906174,0.05250304,-4.05342494,-0.05234431
-0.46062788,0.03067965,-0.70926446,0.05235200,-4.60627882,0.30679654
-0.42988258,0.07905931,-0.70939344,0.05224546,-4.29882584,0.79059311
