I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32404290,0.23676676,-0.72384489,-0.13549210,0.39090274,0.26045577,3.24042901,2.36766756
0.36359117,0.34537585,-0.72383976,-0.13547096,0.45822237,0.36626266,3.63591169,3.45375852
0.37232724,0.39773211,-0.72382635,-0.13545363,0.47806181,0.42323427,3.72327236,3.97732112
0.35562776,0.38048611,-0.72381294,-0.13545129,0.45531074,0.41385528,3.55627759,3.80486108
0.32473696,0.29597821,-0.72380751,-0.13546096,0.39948607,0.34974864,3.24736963,2.95978206
0.29256915,0.16210053,-0.72381467,-0.13547532,0.34181846,0.22876227,2.92569151,1.62100531
0.26877109,0.00813432,-0.72383094,-0.13548502,0.30939949,0.06754694,2.68771085,0.08134317
0.25592939,-0.13241285,-0.72385246,-0.13549177,0.30087422,-0.09107503,2.55929391,-1.32412852
0.24845885,-0.23015072,-0.72387385,-0.13550013,0.30445401,-0.20396326,2.48458853,-2.30150724
0.23476104,-0.26719477,-0.72388905,-0.13549857,0.29141536,-0.26236088,2.34761044,-2.67194773
0.20203028,-0.24169690,-0.72389895,-0.13548438,0.26702642,-0.23321991,2.02030277,-2.41696896
0.14204496,-0.16833321,-0.72390741,-0.13546665,0.20353676,-0.14505451,1.42044964,-1.68333211
0.05580762,-0.07457935,-0.72391456,-0.13545334,0.09912282,-0.04465601,0.55807624,-0.74579350
-0.04481692,0.00633526,-0.72391522,-0.13544628,-0.02604500,0.03099481,-0.44816915,0.06335262
-0.13934033,0.04405585,-0.72390586,-0.13544719,-0.14072812,0.05303975,-1.39340328,0.44055851
-0.20430137,0.01914954,-0.72388893,-0.13545355,-0.22373102,0.01385261,-2.04301372,0.19149544
-0.22062204,-0.07148850,-0.72387201,-0.13546009,-0.24889070,-0.09847834,-2.20622040,-0.71488504
-0.18026532,-0.21331134,-0.72386390,-0.13546473,-0.20629617,-0.25902250,-1.80265321,-2.13311339
-0.08990021,-0.37732340,-0.72386831,-0.13546801,-0.10852482,-0.45346387,-0.89900206,-3.77323398
0.02981639,-0.52711303,-0.72387952,-0.13546868,-0.01096153,-0.62515743,0.29816386,-5.27113030
0.14932331,-0.62800768,-0.72388649,-0.13546295,0.08164818,-0.74647100,1.49323315,-6.28007684
0.23814736,-0.65603139,-0.72388208,-0.13544764,0.15550734,-0.78465751,2.38147361,-6.56031385
0.27336530,-0.60430570,-0.72386801,-0.13542473,0.21860802,-0.74131708,2.73365297,-6.04305696
0.24591339,-0.48511697,-0.72385466,-0.13540298,0.25802242,-0.61166134,2.45913391,-4.85116969
0.16280364,-0.32695923,-0.72385067,-0.13539332,0.23570696,-0.40807364,1.62803645,-3.26959227
0.04462620,-0.16719317,-0.72385901,-0.13540097,0.13445857,-0.21137034,0.44626196,-1.67193173
-0.08076937,-0.04218850,-0.72387367,-0.13542256,-0.02161346,-0.07309779,-0.80769371,-0.42188497
-0.18632430,0.02240997,-0.72388703,-0.13544773,-0.16254357,-0.00261206,-1.86324296,0.22409969
-0.25298075,0.01858033,-0.72389567,-0.13546549,-0.26069093,-0.01359949,-2.52980750,0.18580332
-0.27386209,-0.04202907,-0.72390193,-0.13547070,-0.29956186,-0.08993246,-2.73862093,-0.42029073
-0.25433232,-0.13160654,-0.72391099,-0.13546665,-0.28686146,-0.18498171,-2.54332321,-1.31606541
-0.20826767,-0.21436172,-0.72392166,-0.13546033,-0.23709911,-0.28884034,-2.08267675,-2.14361715
-0.15212670,-0.25711654,-0.72392839,-0.13545612,-0.17143419,-0.33663572,-1.52126702,-2.57116541
-0.09906057,-0.23924727,-0.72392291,-0.13545159,-0.10242386,-0.31516531,-0.99060570,-2.39247273
-0.05515263,-0.15901949,-0.72390294,-0.13544057,-0.03786426,-0.21678289,-0.55152629,-1.59019486
-0.01899111,-0.03435046,-0.72387546,-0.13542004,-0.00883367,-0.06996417,-0.18991115,-0.34350458
0.01550690,0.10234052,-0.72385371,-0.13539375,0.01871168,0.09512603,0.15506905,1.02340519
0.05432215,0.21374689,-0.72384685,-0.13536970,0.04739358,0.23449765,0.54322149,2.13746895
0.09863059,0.26890830,-0.72385663,-0.13535558,0.09489890,0.31021947,0.98630586,2.68908296
0.14215757,0.25265538,-0.72387433,-0.13535371,0.13554852,0.30229500,1.42157571,2.52655379
0.17180607,0.17034170,-0.72388941,-0.13535848,0.16343701,0.21292414,1.71806074,1.70341695
0.17155312,0.04634633,-0.72389376,-0.13536102,0.15745042,0.07548343,1.71553121,0.46346327
0.12836878,-0.08325413,-0.72388667,-0.13535628,0.12646415,-0.07075146,1.28368777,-0.83254131
0.03809717,-0.18161920,-0.72387201,-0.13534735,0.03534848,-0.19934680,0.38097174,-1.81619195
-0.09086046,-0.22230520,-0.72385502,-0.13533947,-0.10295866,-0.25550627,-0.90860456,-2.22305197
-0.23756580,-0.19717683,-0.72383815,-0.13533644,-0.27015721,-0.24138983,-2.37565802,-1.97176830
-0.37258391,-0.11860097,-0.72382635,-0.13533856,-0.42746532,-0.14908361,-3.72583911,-1.18600973
-0.46504415,-0.01525816,-0.72382146,-0.13534364,-0.53138466,-0.01550600,-4.65044152,-0.15258161
-0.49071724,0.07706718,-0.72382683,-0.13534899,-0.56122328,0.09828393,-4.90717242,0.77067182
-0.43874251,0.12676470,-0.72384048,-0.13535291,-0.50749435,0.14803115,-4.38742511,1.26764703
-0.31503003,0.11615377,-0.72385651,-0.13535480,-0.38429165,0.10772663,-3.15030035,1.16153767
-0.14136187,0.04665383,-0.72386777,-0.13535491,-0.19075370,0.00981099,-1.41361868,0.46653833
0.04951237,-0.06217467,-0.72387010,-0.13535576,0.03629100,-0.09879368,0.49512366,-0.62174670
0.22135958,-0.17925721,-0.72386807,-0.13535987,0.22995348,-0.21717984,2.21359575,-1.79257205
0.34245565,-0.27201143,-0.72387022,-0.13536938,0.37110794,-0.33371879,3.42455654,-2.72011425
0.39202247,-0.31640337,-0.72388262,-0.13538463,0.42178596,-0.39395597,3.92022475,-3.16403368
0.36365167,-0.30380693,-0.72390282,-0.13540269,0.40194913,-0.37193358,3.63651667,-3.03806935
0.26522004,-0.24258365,-0.72391909,-0.13541649,0.32613997,-0.28041304,2.65220040,-2.42583654
0.11578700,-0.15413310,-0.72391987,-0.13541891,0.17813042,-0.15324507,1.15787002,-1.54133096
-0.05933232,-0.06503087,-0.72390366,-0.13540863,-0.02163434,-0.06112920,-0.59332322,-0.65030869
-0.23387903,0.00187072,-0.72387856,-0.13539355,-0.22390809,-0.00510087,-2.33879030,0.01870717
-0.38512095,0.03427812,-0.72385728,-0.13538665,-0.41037582,0.02776985,-3.85120949,0.34278125
-0.49677171,0.03299165,-0.72384787,-0.13539614,-0.55451995,0.05727330,-4.96771712,0.32991653
-0.56023440,0.00953321,-0.72384787,-0.13541785,-0.63372697,0.05352661,-5.60234405,0.09533215
-0.57448397,-0.01993897,-0.72385001,-0.13544200,-0.65883600,0.02271586,-5.74483974,-0.19938969
-0.54507335,-0.04191212,-0.72384763,-0.13545790,-0.64071415,-0.01860527,-5.45073350,-0.41912124
-0.48266400,-0.05111089,-0.72383970,-0.13545677,-0.58403636,-0.05440485,-4.82663996,-0.51110890
-0.40126453,-0.05222421,-0.72383130,-0.13543753,-0.49362391,-0.08085303,-4.01264528,-0.52224211
-0.31617684,-0.05711784,-0.72382754,-0.13541061,-0.39371677,-0.10546647,-3.16176842,-0.57117844
-0.24162625,-0.07865918,-0.72382808,-0.13539074,-0.30280468,-0.13949162,-2.41626251,-0.78659180
-0.18822067,-0.12364606,-0.72382486,-0.13538215,-0.23528446,-0.18915849,-1.88220666,-1.23646057
-0.16066100,-0.18776779,-0.72381175,-0.13537960,-0.20040925,-0.24957253,-1.60660996,-1.87767794
-0.15635099,-0.25485187,-0.72379214,-0.13538513,-0.19111927,-0.32439585,-1.56350986,-2.54851874
-0.16556697,-0.30108768,-0.72377640,-0.13539919,-0.19976800,-0.37950211,-1.65566972,-3.01087678
-0.17355988,-0.30302577,-0.72377181,-0.13541879,-0.20878157,-0.37953205,-1.73559879,-3.03025771
-0.16441373,-0.24662060,-0.72377944,-0.13544074,-0.19060955,-0.32683564,-1.64413734,-2.46620602
-0.12584484,-0.13399610,-0.72379130,-0.13545957,-0.13443276,-0.20589210,-1.25844836,-1.33996099
-0.05363294,0.01477872,-0.72379559,-0.13546777,-0.05135121,-0.02915379,-0.53632938,0.14778725
0.04574856,0.16598621,-0.72378671,-0.13546067,0.04507414,0.15352147,0.45748557,1.65986213
0.15538224,0.28160478,-0.72376823,-0.13544129,0.16853128,0.30347312,1.55382245,2.81604776
0.25133917,0.33083374,-0.72374982,-0.13541996,0.28656979,0.37165881,2.51339172,3.30833737
0.30861969,0.30001355,-0.72374022,-0.13540922,0.36329917,0.33518245,3.08619692,3.00013545
0.30806626,0.19752484,-0.72374070,-0.13541545,0.34902551,0.24923099,3.08066261,1.97524838
0.24227019,0.05181698,-0.72374618,-0.13543367,0.26722115,0.11006908,2.42270195,0.51816975
0.11865581,-0.09702611,-0.72375005,-0.13545150,0.12721761,-0.05306093,1.18655815,-0.97026110
-0.04132376,-0.20958967,-0.72375166,-0.13545883,-0.03617153,-0.19447211,-0.41323756,-2.09589667
-0.20682044,-0.25934861,-0.72375375,-0.13545330,-0.22690064,-0.27131194,-2.06820438,-2.59348610
-0.34484968,-0.24080006,-0.72375882,-0.13543855,-0.39584576,-0.24618222,-3.44849684,-2.40800064
-0.42817167,-0.17079982,-0.72376549,-0.13542254,-0.49840992,-0.16980208,-4.28171669,-1.70799822
-0.44160862,-0.08261782,-0.72376907,-0.13541557,-0.50923471,-0.08190443,-4.41608623,-0.82617823
-0.38510209,-0.01463540,-0.72376454,-0.13542050,-0.44967674,-0.02759022,-3.85102087,-0.14635397
-0.27281716,0.00261174,-0.72374392,-0.13541073,-0.32537204,-0.03223412,-2.72817158,0.02611740
-0.12878563,-0.04321241,-0.72371733,-0.13539441,-0.16138192,-0.09138641,-1.28785632,-0.43212415
0.01944129,-0.14188861,-0.72369760,-0.13539059,0.01548647,-0.19473960,0.19441290,-1.41888615
0.14719666,-0.26369653,-0.72368771,-0.13539535,0.16114731,-0.32448374,1.47196665,-2.63696526
0.23740181,-0.36885107,-0.72368574,-0.13540457,0.24988925,-0.44824730,2.37401808,-3.68851071
0.28253697,-0.42021723,-0.72368842,-0.13541348,0.29348397,-0.51897566,2.82536973,-4.20217226
0.28383138,-0.39517172,-0.72369206,-0.13541868,0.30838612,-0.48731948,2.83831381,-3.95171725
0.24851704,-0.29282541,-0.72369629,-0.13542028,0.30552749,-0.35209687,2.48517037,-2.92825409
0.18648196,-0.13439755,-0.72369969,-0.13541909,0.25675125,-0.14684428,1.86481961,-1.34397548
0.10760530,0.04320696,-0.72369629,-0.13541338,0.16076692,0.05497040,1.07605296,0.43206961
0.02052487,0.19839013,-0.72368211,-0.13540308,0.05280593,0.23127657,0.20524866,1.98390125
-0.06717870,0.29681872,-0.72365957,-0.13539588,-0.05462718,0.34491735,-0.67178697,2.96818721
-0.14807350,0.32059259,-0.72363627,-0.13539560,-0.15705403,0.36986521,-1.48073503,3.20592592
-0.21424380,0.27194649,-0.72362417,-0.13540366,-0.24744517,0.31856055,-2.14243799,2.71946486
-0.25775012,0.17070565,-0.72363311,-0.13542537,-0.31460810,0.19624059,-2.57750115,1.70705655
-0.27240498,0.04676427,-0.72366261,-0.13546129,-0.33750304,0.04575334,-2.72404984,0.46764272
-0.25633612,-0.06963265,-0.72369570,-0.13548519,-0.31967991,-0.09460153,-2.56336119,-0.69632649
-0.21422892,-0.15652402,-0.72371531,-0.13548982,-0.27370005,-0.19344021,-2.14228918,-1.56524024
-0.15800306,-0.20512681,-0.72371662,-0.13548234,-0.19366497,-0.25357019,-1.58003062,-2.05126807
-0.10508767,-0.21979875,-0.72370529,-0.13546848,-0.12804978,-0.26578331,-1.05087666,-2.19798752
-0.07430170,-0.21363996,-0.72369480,-0.13545874,-0.08182070,-0.26474079,-0.74301700,-2.13639957
-0.08032184,-0.20173845,-0.72369707,-0.13546254,-0.08259820,-0.25366219,-0.80321840,-2.01738453
-0.12845079,-0.19470294,-0.72371191,-0.13547637,-0.13561161,-0.24614092,-1.28450788,-1.94702937
-0.21157096,-0.19479782,-0.72372991,-0.13548841,-0.22873558,-0.25370547,-2.11570964,-1.94797817
-0.31065581,-0.19587954,-0.72374070,-0.13548692,-0.35199483,-0.25345173,-3.10655811,-1.95879541
-0.39913695,-0.18687020,-0.72374117,-0.13546997,-0.47050106,-0.22985282,-3.99136948,-1.86870199
-0.45013192,-0.15723123,-0.72373682,-0.13544874,-0.53905077,-0.18711911,-4.50131922,-1.57231231
-0.44447202,-0.10225415,-0.72373354,-0.13543177,-0.52918168,-0.13962710,-4.44472025,-1.02254152
-0.37702763,-0.02615671,-0.72373295,-0.13542467,-0.45188335,-0.07148585,-3.77027635,-0.26156706
-0.25920701,0.05814774,-0.72373152,-0.13542818,-0.31382130,0.00503754,-2.59207012,0.58147736
-0.11662103,0.13250488,-0.72372425,-0.13543525,-0.15530723,0.09206923,-1.16621035,1.32504885
0.01758369,0.17896123,-0.72370976,-0.13543683,-0.00798878,0.16040506,0.17583690,1.78961235
0.11181413,0.18531254,-0.72369450,-0.13543016,0.10333050,0.19008922,1.11814129,1.85312542
0.14480879,0.14891955,-0.72368670,-0.13541742,0.14238507,0.17316901,1.44808787,1.48919546
0.11142190,0.07761491,-0.72369146,-0.13540450,0.11181941,0.09895772,1.11421895,0.77614906
0.02365973,-0.01246236,-0.72370470,-0.13539927,0.01592042,-0.00326777,0.23659726,-0.12462361
-0.09327824,-0.10128101,-0.72371727,-0.13540177,-0.10612774,-0.10281297,-0.93278239,-1.01281006
-0.20861495,-0.17012567,-0.72372097,-0.13540250,-0.23790554,-0.19263818,-2.08614945,-1.70125672
-0.29479639,-0.20604699,-0.72371531,-0.13539754,-0.34808047,-0.23460615,-2.94796388,-2.06046987
-0.33470243,-0.20440967,-0.72371048,-0.13539813,-0.39830548,-0.22995304,-3.34702431,-2.04409671
-0.32511455,-0.16910704,-0.72371417,-0.13541183,-0.38819680,-0.20493598,-3.25114552,-1.69107036
-0.27560942,-0.11074476,-0.72372419,-0.13543294,-0.32414448,-0.15109668,-2.75609420,-1.10744756
-0.20360611,-0.04360297,-0.72373271,-0.13545345,-0.23873387,-0.09508792,-2.03606114,-0.43602972
-0.12754938,0.01766517,-0.72373229,-0.13546507,-0.15251376,-0.02337543,-1.27549383,0.17665168
-0.06073315,0.06082365,-0.72372031,-0.13546106,-0.08791261,0.03817247,-0.60733146,0.60823650
-0.00789202,0.07792575,-0.72370112,-0.13544278,-0.02870311,0.07097434,-0.07892019,0.77925754
0.03443134,0.06622351,-0.72368234,-0.13541846,0.01967281,0.06501082,0.34431343,0.66223509
0.07418137,0.02827822,-0.72366971,-0.13539968,0.06681380,0.03120559,0.74181375,0.28278216
0.11842803,-0.02855214,-0.72366470,-0.13539568,0.12297986,-0.01497724,1.18428033,-0.28552136
0.16861750,-0.09318813,-0.72366691,-0.13540813,0.18320567,-0.08709534,1.68617498,-0.93188127
0.21842860,-0.15251341,-0.72367561,-0.13543124,0.25318891,-0.14580162,2.18428596,-1.52513414
0.25519668,-0.19368786,-0.72369123,-0.13545494,0.30494924,-0.20007544,2.55196677,-1.93687860
0.26446438,-0.20690212,-0.72371274,-0.13547155,0.32531558,-0.22206942,2.64464384,-2.06902117
0.23596904,-0.18806928,-0.72373521,-0.13547650,0.29655807,-0.19697301,2.35969040,-1.88069281
0.16874949,-0.14068098,-0.72375095,-0.13547026,0.23155986,-0.14048043,1.68749490,-1.40680979
0.07329503,-0.07601548,-0.72375530,-0.13545732,0.12174200,-0.06902390,0.73295032,-0.76015481
-0.03030823,-0.01118500,-0.72374851,-0.13544431,-0.00541692,-0.00497459,-0.30308227,-0.11185003
-0.11782114,0.03487815,-0.72373778,-0.13543884,-0.11358435,0.03968737,-1.17821137,0.34878154
-0.16812303,0.04664872,-0.72373003,-0.13544589,-0.18638781,0.04380598,-1.68123035,0.46648717
-0.16980799,0.01699279,-0.72372746,-0.13546379,-0.19410097,0.00524013,-1.69807989,0.16992785
-0.12475917,-0.04974243,-0.72372639,-0.13548560,-0.14523247,-0.06794406,-1.24759166,-0.49742430
-0.04737267,-0.13781528,-0.72372174,-0.13550100,-0.05535445,-0.15967247,-0.47372668,-1.37815283
0.04037052,-0.22374393,-0.72371179,-0.13550197,0.05079800,-0.25860174,0.40370524,-2.23743927
0.11629529,-0.28276079,-0.72370112,-0.13548747,0.13763208,-0.32502816,1.16295290,-2.82760788
0.16528719,-0.29626172,-0.72369671,-0.13546410,0.19995349,-0.34453438,1.65287192,-2.96261717
0.18382891,-0.25791576,-0.72370017,-0.13544212,0.23015943,-0.30173431,1.83828909,-2.57915756
0.18019198,-0.17632685,-0.72370619,-0.13542803,0.24050245,-0.20713863,1.80191978,-1.76326854
0.17022599,-0.07311151,-0.72370297,-0.13542050,0.23006351,-0.07459012,1.70225991,-0.73111512
0.17030961,0.02330050,-0.72368497,-0.13541496,0.22795331,0.03679597,1.70309615,0.23300495
0.19011232,0.08638883,-0.72365791,-0.13541014,0.23549985,0.11430141,1.90112317,0.86388832
0.22795157,0.10008801,-0.72363585,-0.13540916,0.27362552,0.13254122,2.27951570,1.00088006
0.27064105,0.06436483,-0.72363186,-0.13541822,0.32238477,0.09274558,2.70641048,0.64364835
0.29810470,-0.00411708,-0.72364843,-0.13544041,0.35088221,0.01209504,2.98104699,-0.04117084
0.29124742,-0.07665508,-0.72367477,-0.13546960,0.34614357,-0.05986568,2.91247416,-0.76655083
0.24026990,-0.12116616,-0.72369576,-0.13549343,0.29170764,-0.10973703,2.40269895,-1.21166164
0.15028473,-0.11218275,-0.72370064,-0.13550068,0.20063327,-0.10240794,1.50284734,-1.12182749
0.04189079,-0.03903218,-0.72368938,-0.13548845,0.06992954,-0.02719352,0.41890786,-0.39032180
-0.05394851,0.09040597,-0.72367197,-0.13546577,-0.04881094,0.10768242,-0.53948512,0.90405968
-0.10536658,0.25155708,-0.72365838,-0.13544697,-0.11493237,0.29432720,-1.05366578,2.51557077
-0.09040660,0.41000698,-0.72365433,-0.13544385,-0.09004917,0.48457463,-0.90406596,4.10006981
-0.00553425,0.53114655,-0.72365761,-0.13545752,0.03100788,0.62193753,-0.05534252,5.31146548
0.13122624,0.58955620,-0.72366303,-0.13547656,0.20904432,0.67048186,1.31226239,5.89556199
0.28394921,0.57526958,-0.72366720,-0.13548660,0.38603552,0.62326391,2.83949214,5.75269581
0.40846253,0.49518844,-0.72367251,-0.13548124,0.50338542,0.52191604,4.08462533,4.95188444
0.46517941,0.36958650,-0.72367752,-0.13546646,0.53772414,0.39390231,4.65179405,3.69586502
0.43113739,0.22524718,-0.72367734,-0.13545114,0.47536435,0.27146066,4.31137391,2.25247184
0.30741012,0.08777075,-0.72366643,-0.13543996,0.32341099,0.15167491,3.07410118,0.87770745
0.11945602,-0.02436491,-0.72364336,-0.13543604,0.11178116,0.03149419,1.19456016,-0.24364914
-0.08981600,-0.10227588,-0.72361135,-0.13543516,-0.10670951,-0.07520322,-0.89815997,-1.02275880
-0.27217592,-0.14539598,-0.72357690,-0.13542852,-0.30523880,-0.15168245,-2.72175921,-1.45395976
-0.38766822,-0.15761415,-0.72355098,-0.13541876,-0.45382907,-0.16317113,-3.87668217,-1.57614149
-0.41550867,-0.14289249,-0.72354150,-0.13541457,-0.48931612,-0.14670993,-4.15508671,-1.42892495
-0.35902292,-0.10247010,-0.72354287,-0.13541324,-0.42208124,-0.13110067,-3.59022921,-1.02470102
-0.24330284,-0.03493449,-0.72354585,-0.13541371,-0.27849075,-0.08016126,-2.43302844,-0.34934486
-0.10657524,0.06090352,-0.72354358,-0.13541088,-0.12828283,0.02027167,-1.06575242,0.60903523
0.01178737,0.18172096,-0.72353387,-0.13539602,-0.00271072,0.16607139,0.11787375,1.81720964
0.08275435,0.31613547,-0.72352093,-0.13536945,0.07046362,0.33126755,0.82754349,3.16135472
0.09511294,0.44393409,-0.72350979,-0.13534647,0.10594545,0.49237425,0.95112936,4.43934090
0.05689198,0.53911976,-0.72350305,-0.13533735,0.08977576,0.61024589,0.56891984,5.39119762
-0.00924872,0.57631046,-0.72349685,-0.13533781,0.03886927,0.66246608,-0.09248722,5.76310462
-0.07470546,0.53857838,-0.72349030,-0.13534117,-0.03982414,0.63824955,-0.74705460,5.38578376
-0.11455705,0.42400152,-0.72348553,-0.13534264,-0.12687755,0.52065213,-1.14557047,4.24001520
-0.11493364,0.24837252,-0.72348279,-0.13534172,-0.17306118,0.31174168,-1.14933640,2.48372519
-0.07594911,0.04266277,-0.72348213,-0.13534075,-0.12391927,0.06496991,-0.75949106,0.42662765
-0.00970550,-0.15440218,-0.72347736,-0.13533819,-0.02602985,-0.16365173,-0.09705502,-1.54402181
0.06538902,-0.30655799,-0.72346491,-0.13533783,0.07080574,-0.34474388,0.65389023,-3.06557986
0.13157945,-0.38982223,-0.72344589,-0.13534231,0.14158687,-0.45439524,1.31579451,-3.89822227
0.17736939,-0.39872462,-0.72342825,-0.13535415,0.19495945,-0.47449910,1.77369394,-3.98724618
0.19989271,-0.34686231,-0.72341937,-0.13537481,0.24073577,-0.41193915,1.99892706,-3.46862310
0.20356594,-0.26156779,-0.72342014,-0.13539746,0.26313588,-0.31055649,2.03565938,-2.61567794
0.19602431,-0.17446491,-0.72342390,-0.13541023,0.26431597,-0.19256464,1.96024308,-1.74464911
0.18335871,-0.11109179,-0.72342014,-0.13540615,0.24983510,-0.11096177,1.83358709,-1.11091792
0.16684101,-0.08308335,-0.72340530,-0.13538794,0.23176289,-0.07239114,1.66841012,-0.83083346
0.14260611,-0.08550685,-0.72338450,-0.13536404,0.20031005,-0.06608861,1.42606112,-0.85506855
0.10444850,-0.10013971,-0.72336847,-0.13534479,0.15401420,-0.08691014,1.04448495,-1.00139713
0.04851020,-0.10340109,-0.72336656,-0.13534449,0.08076166,-0.10346646,0.48510196,-1.03401092
-0.02226454,-0.07603287,-0.72337633,-0.13536584,0.00217761,-0.08295493,-0.22264536,-0.76032865
-0.09608580,-0.01104129,-0.72338837,-0.13539921,-0.08534998,-0.01734444,-0.96085797,-0.11041293
-0.15402098,0.08293574,-0.72339094,-0.13543271,-0.16110345,0.08061011,-1.54020982,0.82935738
-0.17533702,0.18401817,-0.72338009,-0.13545139,-0.19702935,0.19198222,-1.75337018,1.84018173
-0.14486817,0.26435318,-0.72336257,-0.13544767,-0.16417279,0.29478458,-1.44868168,2.64353184
-0.05980338,0.29965937,-0.72334886,-0.13542788,-0.07689612,0.34170478,-0.59803377,2.99659369
0.06678359,0.27765636,-0.72334689,-0.13540784,0.06346423,0.31881225,0.66783595,2.77656355
0.20740704,0.20242110,-0.72335279,-0.13539939,0.21268552,0.25252458,2.07407037,2.02421101
0.32674433,0.09318932,-0.72335809,-0.13540588,0.35812827,0.13608630,3.26744325,0.93189320
0.39160929,-0.02189869,-0.72334874,-0.13540269,0.43273933,0.00222421,3.91609287,-0.21898694
0.38129858,-0.11484233,-0.72332674,-0.13538735,0.42924052,-0.10405545,3.81298576,-1.14842328
0.29493619,-0.16642858,-0.72330570,-0.13537318,0.33721399,-0.15948488,2.94936194,-1.66428582
0.15322820,-0.17153720,-0.72329611,-0.13536677,0.18747922,-0.16222255,1.53228204,-1.71537197
-0.00626414,-0.13944531,-0.72329897,-0.13536777,0.01423826,-0.13665406,-0.06264136,-1.39445306
-0.13916678,-0.08931893,-0.72330743,-0.13537253,-0.13683891,-0.10155027,-1.39166779,-0.89318931
-0.20674861,-0.04279180,-0.72331184,-0.13537316,-0.21804996,-0.06092255,-2.06748611,-0.42791804
-0.18705870,-0.01648651,-0.72330618,-0.13536188,-0.20244327,-0.04251373,-1.87058698,-0.16486515
-0.08137555,-0.01719479,-0.72329098,-0.13533735,-0.08447873,-0.03710940,-0.81375553,-0.17194788
0.08596054,-0.04128259,-0.72327071,-0.13530535,0.10629136,-0.05461480,0.85960536,-0.41282585
0.27421560,-0.07818146,-0.72324997,-0.13527676,0.31464031,-0.08960919,2.74215599,-0.78181465
0.43733497,-0.11623337,-0.72323227,-0.13526124,0.50859850,-0.15409152,4.37334965,-1.16233368
0.53605329,-0.14828615,-0.72321910,-0.13526197,0.60141979,-0.22361394,5.36053287,-1.48286148
0.54750154,-0.17462349,-0.72321278,-0.13527325,0.61144008,-0.25615616,5.47501536,-1.74623489
0.46971754,-0.20197741,-0.72321731,-0.13528585,0.54286770,-0.25771495,4.69717544,-2.01977412
0.32017869,-0.23905440,-0.72323453,-0.13529401,0.39400896,-0.25724013,3.20178689,-2.39054396
0.12935781,-0.29053960,-0.72325861,-0.13529803,0.20031691,-0.29754337,1.29357808,-2.90539600
-0.06827003,-0.35230695,-0.72328097,-0.13529791,-0.01796813,-0.37766449,-0.68270027,-3.52306950
-0.24281404,-0.41022380,-0.72328955,-0.13529299,-0.23880976,-0.44992884,-2.42814035,-4.10223798
-0.37467591,-0.44358855,-0.72328144,-0.13528520,-0.41888570,-0.47893392,-3.74675912,-4.43588550
-0.45616449,-0.43236982,-0.72326207,-0.13527858,-0.53811997,-0.44424328,-4.56164489,-4.32369819
-0.48933661,-0.36574107,-0.72324234,-0.13527805,-0.56949982,-0.37733277,-4.89336612,-3.65741066
-0.48163522,-0.24859740,-0.72323042,-0.13528627,-0.55506843,-0.28153284,-4.81635220,-2.48597401
-0.44143727,-0.10317177,-0.72322911,-0.13530371,-0.49932261,-0.15271679,-4.41437268,-1.03171775
-0.37531349,0.03554781,-0.72323513,-0.13532451,-0.42115450,-0.02322789,-3.75313488,0.35547808
